_id,birthDate,birthPlace,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,college,draft_pick,draft_round,draft_team,draft_year,height,highSchool,name,position,shoots,weight
baltihe01,"June 21, 1921","Duryea, Pennsylvania",0.3,20.2,,46.4,58,,2.4,,0.3,,Pennsylvania State University,,,,,06-Apr,"New Castle in New Castle, Pennsylvania",Herschel Baltimore,Forward,Right,195lb
obriebo01,"January 26, 1927",,0.2,20.6,,46.6,46,,1.8,,-0.1,,Pepperdine University,,,,,06-Apr,,Bob O'Brien,Forward,Right,190lb
ebbenbi01,"October 7, 1935",,0.5,21.4,,75,8,1.1,1.9,1,-0.2,,University of Detroit Mercy,18th overall,3rd round,Detroit Pistons,1957,06-Apr,"Fenwick in Oak Park, Illinois",Bill Ebben,Guard,Right,190lb
fontais01,"April 16, 1975","Sacramento, California",0.7,21.4,20,66.7,6,-0.9,1.8,0.8,-0.2,25,Washington State University,,,,,06-Apr,"Jesuit Carmichael in Sacramento, California",Isaac Fontaine,Shooting Guard,Right,210lb
duffybo01,"July 5, 1922",,0,21.9,,71.4,17,,1.1,,0,,Tulane University,,,,,06-Apr,,Bob Duffy,Forward,Right,175lb
milleha01,"July 28, 1923",,0.8,22.3,,43.9,53,,2.9,,-0.1,,University of North Carolina,,,,,06-Apr,,Harry Miller,Center/Forward,Right,230lb
fortejo01,"March 23, 1981","Atlanta, Georgia",0.7,23.4,0,80,25,3.2,1.2,0.7,-0.4,23.4,University of North Carolina,21st overall,1st round,Boston Celtics,2001,06-Apr,"Dematha Catholic in Hyattsville, Maryland",Joseph Forte,Shooting Guard,Right,194lb
kreklwa01,"January 4, 1957","Neenah, Wisconsin",0.4,23.4,25,70,25,-1.9,1.2,0.5,-0.3,24.5,Drake University,53rd overall,3rd round,Boston Celtics,1979,06-Apr,"Neenah in Neenah, Wisconsin",Wayne Kreklow,Shooting Guard,Right,175lb
smithbo01,"August 20, 1937",,1.1,23.6,,68.8,13,6.7,2.8,2.5,-0.3,,West Virginia University,18th overall,3rd round,Minneapolis Lakers,1959,06-Apr,"Stonewall Jackson in Charleston, West Virginia",Bobby Smith,Guard,Right,190lb
williwa01,"June 26, 1923","Colfax, Indiana",1.5,23.7,,75,53,,4.1,,1.8,,Indiana University,8th overall,1st round,Fort Wayne Pistons,1948,06-Apr,"Colfax in Colfax, Indiana",Ward Williams,Forward,Right,195lb
wehrdi01,"December 9, 1925",,0.3,23.8,,33.3,9,,1.3,,-0.1,,Rice University,,1948 BAA Draf,Indianapolis Jets,,06-Apr,,Dick Wehr,Forward,Right,180lb
mckinca01,"October 21, 1964","San Diego, California",0.8,24.4,0,50,9,-0.1,2.4,1.4,-0.3,24.4,"University of Tulsa, Southern Methodist University",,,,,06-Apr,"Nixon in Nixon, Texas",Carlton McKinney,Shooting Guard,Right,190lb
dorsero01,"October 10, 1948",,0,25,0,0,1,-3,4,5,-0.1,25,Tennessee State University,204th overall,13th round,Phoenix Suns,1971,06-Apr,,Ron Dorsey,Forward,Right,200lb
holcodo01,"February 9, 1925",,1.7,25,,64.3,3,,5,,0.1,,University of Wisconsin,,,,,06-Apr,,Doug Holcomb,Forward,Right,200lb
langfke01,"September 15, 1983","Fort Worth, Texas",0,25,,,2,-2.4,1,1,0,25,University of Kansas,,,,,06-Apr,"North Crowley in Fort Worth, Texas",Keith Langford,Shooting Guard,Left,215lb
maddoti01,"June 7, 1981","Compton, California",0.6,25,0,62.5,9,11.2,1.2,0.8,0,25,"California State University, Fresno",38th overall,2nd round,Houston Rockets,2002,06-Apr,"Compton in Compton, California",Tito Maddox,Shooting Guard,Right,190lb
vinsofr01,"January 28, 1971","Murfreesboro, North Carolina",0.1,25,23.1,66.7,13,-2,1.3,0.1,-0.2,31.3,Georgia Institute of Technology,,,,,06-Apr,"Northampton County in East Conway, North Carolina",Fred Vinson,Shooting Guard,Right,190lb
bertada02,"September 9, 1989","Valmiera, Latvia",0.8,25.5,29.4,,12,2,2.8,0.8,-0.2,36.2,,,,,,06-Apr,,Dairis Bertans,Shooting Guard,Right,200lb
tinglja01,"December 30, 1924","Bedford, Kentucky",0.2,25.9,,51.5,39,,2.3,,0.4,,University of Kentucky,,1947 BAA Draf,Washington Capitols,,06-Apr,"Trimble in Bedford, Kentucky",Jack Tingle,Forward,Right,205lb
ragelra01,"December 10, 1928",,0.6,26,,62.1,51,6.1,1.3,1.5,-0.4,,Northwestern University,17th overall,2nd round,Rochester Royals,1951,06-Apr,"Washington in East Chicago, Indiana",Ray Ragelis,Small Forward,Right,205lb
englicl01,"December 26, 1946","Columbus, Georgia",0.3,26.2,,71.4,18,3.8,1.5,1.1,-0.3,,University of Rhode Island,110th overall,7th round,Portland Trail Blazers,1970,06-Apr,,Claude English,Forward,Right,185lb
sanchpe01,"May 8, 1977","Bahia Blanca, Argentina",1.3,27.3,0,100,38,12.3,0.5,0.6,0.4,27.3,Temple University,,,,,06-Apr,"EEM No. 3 in Bahia Blanca, Argentina",Pepe Sanchez,Point Guard,Left,195lb
doylemi01,"October 31, 1993","Chicago, Illinois",1,27.7,17.4,50,10,5.2,3.4,1.8,-0.1,31.9,Loyola University of Chicago,,,,,06-Apr,"Marshall in Chicago, Illinois",Milton Doyle,Shooting Guard,Right,185lb
chrisfr01,"August 6, 1930",,1.2,27.8,,90.9,6,16.7,3.3,1.3,0.1,,Fordham University,,,,,06-Apr,,Fred Christ,Guard,Right,210lb
maughar01,"February 23, 1923","Salt Lake City, Utah",1.2,28,,71.2,259,,7.9,4,4.2,,Utah State University,,,,,06-Apr,"South Cache in Hyrum, Utah",Ariel Maughan,Forward,Right,190lb
spectar01,"October 17, 1920","Philadelphia, Pennsylvania",0.8,28,,57.5,169,,5,,2.9,,Villanova University,,,,,06-Apr,,Art Spector,Forward,Right,200lb
brookpr01,"May 11, 1920","Floydada, Texas",2.2,28.3,,73.9,61,,7.8,,0.2,,West Texas A&M University,,,,,06-Apr,"Friona in Friona, Texas",Price Brookfield,Forward/Guard,Right,185lb
dallmho01,"May 24, 1922","San Francisco, California",2.3,28.3,,69.8,146,,9.6,,15.1,,Stanford University,,,,,06-Apr,"Lowell in San Francisco, California",Howie Dallmar,Forward,Right,200lb
brindau01,"December 31, 1923","Mineola, New York",0.1,28.6,,85.7,12,,2.8,,0.2,,Dartmouth College,,,,,06-Apr,"Rockville Centre in Rockville Centre, New York",Aud Brindley,Forward,Right,175lb
rathaxa01,"April 29, 1994","Scarborough, Canada",3.6,28.6,7.1,44.4,5,0.9,5.8,1,-0.4,29.8,Florida State University,,,,,06-Apr,"Huntington Prep in Huntington, West Virginia",Xavier Rathan-Mayes,Shooting Guard,Right,208lb
noelpa01,"August 17, 1924","Midway, Kentucky",0.7,29.1,,63.6,201,2.3,3.3,1.4,0.2,,University of Kentucky,,,,,06-Apr,,Paul Noel,Forward,Right,185lb
towerbl01,"June 20, 1920","Caldwell, Kentucky",2.4,29.3,,74.8,128,,9.4,,4.2,,Western Kentucky University,,,,,06-Apr,"Shady Grove in Shady Grove, Kentucky",Blackie Towery,Forward/Center,Right,210lb
surhodi01,"November 16, 1929",,0.6,29.5,,71.7,58,10,3.1,1.6,0.1,,Long Island University,,1952 NBA Draf,New York Knicks,,06-Apr,,Dick Surhoff,Small Forward and Power Forward,Right,210lb
clarkri01,"January 5, 1944","Findlay, Ohio",1.7,29.6,5.6,67.5,58,4.3,6.2,2.4,-0.1,29.7,Eastern Kentucky University,,,,,06-Apr,"North Baltimore in North Baltimore, Ohio",Richard Clark,Point Guard and Shooting Guard,Right,190lb
wilsobo01,"March 8, 1926",,1.7,29.9,,57.8,63,7.8,3.7,3.3,0.2,,West Virginia State University,,,,,06-Apr,,Bob Wilson,Point Guard,Right,185lb
mlkvybi01,"January 19, 1931","Palmerton, Pennsylvania",2,30.5,,64.6,31,9.5,5.8,3.3,-1,,Temple University,,1952 NBA Draft,Philadelphia Warriors,,06-Apr,"Stephen F. Palmer in Palmerton, Pennsylvania",Bill Mlkvy,Small Forward,Right,190lb
rosenha01,"June 16, 1920","Brooklyn, New York",0.6,30.5,,64,60,,6.4,,4.6,,City College of New York,,,,,06-Apr,"Boys in Brooklyn, New York",Hank Rosenstein,Forward,Right,185lb
carteja01,"July 25, 1924",,1,30.7,,67.9,24,,3.4,,0.7,,East Texas State University,,1948 BAA Draf,Baltimore Bullets,,06-Apr,,Jake Carter,Forward/Center,Right,195lb
blueva01,"July 17, 1992","Milwaukee, Wisconsin",1.2,30.8,15.4,33.3,10,1.7,3,1.3,-0.4,33.3,Marquette University,,,,,06-Apr,"Madison Memorial in Madison, Wisconsin",Vander Blue,Shooting Guard,Right,200lb
brookcl01,,,0.1,30.8,0,41.7,8,7.7,2.6,1.5,-0.2,30.8,Temple University,118th overall,9th round,Philadelphia 76ers,1968,06-Apr,"John Bartram in Philadelphia, Pennsylvania",Clarence Brookins,Forward,Right,190lb
volkefl01,"June 21, 1921","Casper, Wyoming",2.1,30.9,,55,54,,7.4,,-2,,University of Wyoming,,,,,06-Apr,"Natrona County in Casper, Wyoming",Floyd Volker,Forward/Center,Right,205lb
zelleha01,"July 10, 1919",,0.6,31.4,,68.9,48,,7.5,,3.7,,Washington & Jefferson College,,,,,06-Apr,,Harry Zeller,Center/Forward,Right,210lb
boneyde01,"April 27, 1970","Wilmington, Delaware",0,31.6,16.7,75,8,10.2,2.4,0.8,0,34.2,"University of Nevada, Las Vegas",,,,,06-Apr,"Brandywine in Wilmington, Delaware",Dexter Boney,Shooting Guard,Right,185lb
crockdi01,"January 19, 1925","Coffee County, Tennessee",1.3,31.6,,70.6,154,12.8,8.8,2.2,1.8,,Western Michigan University,,,,,06-Apr,"Niles in Niles, Michigan",Dillard Crocker,Power Forward,Right,205lb
dinneha01,"October 9, 1940","Venice, California",0.5,31.6,,87.5,11,4.5,1.7,2.1,0,31.6,Pepperdine University,,,,,06-Apr,"Mira Costa in Manhattan Beach, California",Harry Dinnel,Forward/Guard,Right,200lb
mandijo01,"October 3, 1919","Los Angeles, California",1.1,31.6,,66,81,,4.1,,2.4,,Oregon State University,,1947 BAA Draf,Washington Capitols,,06-Apr,,John Mandic,Forward/Center,Right,205lb
wiesebo01,"December 22, 1938",,0.4,31.7,,56.7,60,7.5,2,1.9,-0.7,,University of Cincinnati,11th overall,2nd round,Cincinnati Royals,1961,06-Apr,"McNicholas in Cincinnati, Ohio",Bob Wiesenhahn,Small Forward,Right,215lb
dwanja01,"May 3, 1921",Oklahoma,2.2,31.8,,49.3,60,,4.6,,1.2,,Loyola University of Chicago,,,,,06-Apr,"Loyola Academy in Wilmette, Illinois",Jack Dwan,Forward/Guard,Right,200lb
spanova01,"August 7, 1982","Larissa, Greece",0.9,31.9,17.2,81,31,5.4,2.7,0.7,-0.1,35.4,,50th overall,2nd round,Dallas Mavericks,2004,06-Apr,,Vassilis Spanoulis,Shooting Guard,Right,195lb
payakjo01,"November 20, 1926",,1.9,32.1,,71.5,120,11.9,6.3,1.7,3.9,,Bowling Green State University,,,,,06-Apr,"Woodward in Toledo, Ohio",Johnny Payak,Shooting Guard,Right,174lb
pruitga01,"April 19, 1986","Los Angeles, California",0.8,32.1,28.3,78.3,62,7.7,2,0.8,0.4,38.2,University of Southern California,32nd overall,2nd round,Boston Celtics,2007,06-Apr,"Westchester in Los Angeles, California",Gabe Pruitt,Point Guard and Shooting Guard,Right,170lb
gilmuch01,"August 13, 1922",,1.5,32.5,,60.9,239,,5.8,4.7,15.1,,University of Washington,,,,,06-Apr,,Chuck Gilmur,Forward/Center,Right,225lb
ganttbo01,"June 22, 1922",,0.2,32.6,,46.4,23,,3.1,,1.3,,Duke University,,,,,06-Apr,"Durham in Durham, North Carolina",Bob Gantt,Forward/Center,Right,205lb
palmebu01,"September 14, 1921","Hollywood, California",1.3,32.6,,73.9,148,,11.7,,18.5,,Princeton University,,,,,06-Apr,"Phillips-Exeter Academy in Exeter, New Hampshire",Bud Palmer,Forward/Center,Right,180lb
frienla01,"April 14, 1935","Chicago, Illinois",1.1,32.7,,65.9,44,7.7,4,2.4,-0.4,,University of California,13th overall,2nd round,New York Knicks,1957,06-Apr,"Fairfax in Los Angeles, California",Larry Friend,Shooting Guard,Right,185lb
purviro01,"February 14, 1994","Plymouth, North Carolina",1.1,32.7,25,86.7,16,4.5,6,1.7,-0.3,38.8,University of Connecticut,,,,,06-Apr,"Upper Room Christian Academy in Raleigh, North Carolina",Rodney Purvis,Shooting Guard,Right,205lb
rosenle01,"January 22, 1933","New York, New York",0.4,32.7,,65.5,82,12.4,4.2,1.8,-0.7,,University of North Carolina,6th overall,1st round,Philadelphia Warriors,1957,06-Apr,"Staunton Military Academy in Staunton, Virginia",Lennie Rosenbluth,Small Forward,Right,190lb
strotla01,"May 10, 1968","Nansemond County, Virginia",1.1,32.9,13.3,71.4,13,5.8,4.6,1.2,-0.5,34.2,Christopher Newport University,43rd overall,2nd round,Golden State Warriors,1991,06-Apr,"Forest Glen in Suffolk, Virginia",Lamont Strothers,Shooting Guard,Right,190lb
hollajo01,"September 26, 1925",,1.8,33.1,,62.1,186,11.5,5.8,4.2,1.9,,University of Kentucky,,1948 BAA Draf,Baltimore Bullets,,06-Apr,"Benton in Benton, Kentucky",Joe Holland,Small Forward,Right,185lb
gunthco01,"February 5, 1923","New York, New York",0.8,33.2,,64.2,84,,10.6,,8.6,,Boston College,,,,,06-Apr,"South Side in Rockville Centre, New York",Coulby Gunther,Forward,Right,190lb
mogusle01,"April 13, 1921",Ohio,1.4,33.2,,71.6,231,,8.5,1.8,21.9,,Youngstown State University,,,,,06-Apr,,Leo Mogus,Forward/Center,Right,190lb
schneot01,"April 15, 1923","Sublette, Kansas",1.5,33.2,,66.9,43,,6.4,,1.2,,University of Kansas,,,,,06-Apr,"Sublette in Sublette, Kansas",Otto Schnellbacher,Forward/Guard,Right,185lb
barnhno01,"July 15, 1953","Winston-Salem, North Carolina",0.3,33.3,,,4,4.7,1,0.8,0,,Washington State University,134th overall,8th round,Seattle SuperSonics,1976,06-Apr,,Norton Barnhill,Shooting Guard,Right,205lb
celesjo01,"March 6, 1977","Houston, Texas",1.3,33.3,22.2,83.3,16,2.7,2.3,0.7,-0.1,35.6,Villanova University,30th overall,2nd round,Los Angeles Lakers,1999,06-Apr,"Piscataway in Piscataway, New Jersey",John Celestand,Point Guard,Right,178lb
clavegi01,"November 26, 1993","Caguas, Puerto Rico",0.4,33.3,40,100,7,7.4,2.9,1,0.1,50,Colorado State University,,,,,06-Apr,"Hialeah Gardens in Hialeah Gardens, Florida",Gian Clavell,Shooting Guard,Right,185lb
jacksaa01,"May 6, 1986","Hartford, Connecticut",1,33.3,25,50,1,2.4,8,3,0,38.9,Duquesne University,,,,,06-Apr,"Northwest Catholic in West Hartford, Connecticut",Aaron Jackson,Point Guard,Right,185lb
mitrona01,"August 3, 1993","Mississauga, Canada",1,33.3,25,100,15,3.8,1.3,0.4,0,40.5,Iowa State University,,,,,06-Apr,"St. Martin in Mississauga, Canada",Naz Mitrou-Long,Shooting Guard,Right,218lb
jamesge01,"February 15, 1925","Ironton, Ohio",1.1,33.4,,56.1,88,,3.4,2.9,0.8,,Marshall University,,,,,06-Apr,"Stonewall Jackson in Charleston, West Virginia",Gene James,Forward,Right,180lb
krameba01,"November 10, 1942","Schenectady, New York",0.7,33.6,0,72.8,59,9.3,3.6,1.9,0.1,33.6,New York University,6th overall,1st round,San Francisco Warriors,1964,06-Apr,"Linton in Schenectady, New York",Barry Kramer,Small Forward,Right,200lb
trepaje01,"July 11, 1979","Los Angeles, California",0.7,33.7,46.2,70,31,9.5,2.8,1.4,-0.2,36.6,University of Southern California,36th overall,2nd round,Cleveland Cavaliers,2001,06-Apr,"Compton in Compton, California",Jeff Trepagnier,Shooting Guard,Left,200lb
morrimi01,"August 16, 1967","Washington, District of Columbia",0.3,33.8,28.6,80,36,4.2,2,0.6,-0.3,35.3,Loyola College in Maryland,51st overall,2nd round,Phoenix Suns,1989,06-Apr,"Northwestern in Hyattsville, Maryland",Mike Morrison,Shooting Guard,Right,195lb
thomabi01,"December 23, 1975","Shreveport, Louisiana",0.5,33.8,30.4,84.6,53,7.8,2.7,1,0.4,44,University of Kansas,,,,,06-Apr,"Loyola College Preparatory School in Shreveport, Louisiana",Billy Thomas,Shooting Guard and Small Forward,Right,208lb
bovendo01,"March 6, 1925","Kalamazoo, Michigan",2,33.9,,70.6,195,12,9,4.2,7.4,,Western Michigan University,1949 BAA Draft,6th roun,Indianapolis Olympians,,06-Apr,"Kalamazoo Central in Kalamazoo, Michigan",Don Boven,Small Forward and Shooting Guard,Right,210lb
kunzete01,"March 11, 1943",,1,33.9,45.5,57.8,46,5.1,5,1.6,0.6,34.9,University of Minnesota,58th overall,7th round,St. Louis Hawks,1965,06-Apr,"Duluth Central in Duluth, Minnesota",Terry Kunze,Shooting Guard,Right,210lb
frinkpa01,"February 18, 1945",,1.1,34,,79.3,48,7.9,2.6,0.9,-0.5,,University of Colorado,27th overall,3rd round,Cincinnati Royals,1968,06-Apr,"Wheat Ridge in Wheat Ridge, Colorado",Pat Frink,Shooting Guard,Right,195lb
macijar01,"January 19, 1980","Klaipeda, Lithuania",0.3,34.1,25,86.7,19,8.3,2.3,0.5,0,37.8,,,,,,06-Apr,,Arvydas Macijauskas,Shooting Guard,Right,214lb
arthujo01,"August 15, 1947",,1.5,34.3,,73.3,11,11.3,3.2,1.3,0,,Tulane University,73rd overall,6th round,Milwaukee Bucks,1969,06-Apr,"De La Salle in New Orleans, Louisiana",John Arthurs,Guard,Right,185lb
kingro01,"July 11, 1951","Louisville, Kentucky",1.6,34.3,33.3,82.4,9,13.1,7.1,2.1,0.2,35.7,Florida State University,63rd overall,4th round,Golden State Warriors,1973,06-Apr,"Central in Louisville, Kentucky",Ron King,Shooting Guard,Right,185lb
noblech01,"July 24, 1931",,3.3,34.6,,73.1,411,9.5,8,2.6,-0.9,,University of Louisville,30th overall,4th round,Philadelphia Warriors,1954,06-Apr,,Chuck Noble,Shooting Guard,Right,190lb
cunnija01,"May 22, 1991","Oakland, California",0.5,34.7,30.6,67.4,84,6.8,2.3,0.7,0.2,40.2,Oregon State University,24th overall,1st round,Cleveland Cavaliers,2012,06-Apr,"San Leandro in San Leandro, California",Jared Cunningham,Shooting Guard,Right,195lb
hundlho01,"October 26, 1934","Charleston, West Virginia",3.4,34.7,,72.1,431,11.7,8.4,3.3,4.3,,West Virginia University,1st overall,1st round,Cincinnati Royals,1957,06-Apr,"Charleston in Charleston, West Virginia",Hot Rod Hundley,Shooting Guard and Point Guard,Right,185lb
mcdancl01,"February 26, 1972","Tulsa, Oklahoma",0.6,34.8,33.3,75,12,15.6,2.5,0.8,0.2,39.1,University of Arkansas,,,,,06-Apr,"Booker T. Washington in Tulsa, Oklahoma",Clint McDaniel,Shooting Guard,Right,180lb
mitchle01,"February 22, 1941","Kiln, Mississippi",0.9,34.9,27.6,65.9,78,3.7,4.1,2.3,0.6,37.9,Mississippi State University,14th overall,2nd round,St. Louis Hawks,1963,06-Apr,"Kiln in Kiln, Mississippi",Leland Mitchell,Shooting Guard,Right,210lb
allenje01,"January 28, 1973","Philadelphia, Pennsylvania",1.7,35,31.7,63,117,8.5,2.9,1.1,0.2,41.1,University of Pennsylvania,49th overall,2nd round,Minnesota Timberwolves,1995,06-Apr,"Episcopal Academy in Merion Station, Pennsylvania",Jerome Allen,Shooting Guard,Right,184lb
riffeji01,"December 14, 1923","Washington, Indiana",0.5,35.1,,76.9,35,,4.3,1.7,0.2,,Tulane University,1950 NBA Draft,2nd roun,Fort Wayne Pistons,,06-Apr,"Washington in Washington, Indiana",Jim Riffey,Forward,Right,200lb
uplinha01,"September 30, 1929",,1.1,35.1,,90.9,23,10.7,3.7,1.3,0.1,,Long Island University,,,,,06-Apr,,Hal Uplinger,Shooting Guard,Right,185lb
colliar01,"April 14, 1954","Sandersville, Georgia",0.9,35.4,0,66.7,29,4.3,3.2,1.4,-0.4,35.4,St. Thomas University,103rd overall,6th round,Boston Celtics,1976,06-Apr,"Jackson in Miami, Florida",Art Collins,Shooting Guard,Right,185lb
baldwwa01,"March 29, 1996","Belle Mead, New Jersey",1.4,35.5,25,77.6,56,7.1,3.1,1.2,-0.3,38.2,Vanderbilt University,17th overall,1st round,Memphis Grizzlies,2016,06-Apr,"St. Joseph in Metuchen, New Jersey",Wade Baldwin,Point Guard,Right,200lb
joneswa01,"July 14, 1926","Harlan, Kentucky",3.1,35.5,,75.7,140,13.5,10.2,5.1,8.8,,University of Kentucky,8th overall,1st round,Washington Capitols,1949,06-Apr,"Harlan in Harlan, Kentucky",Wah Wah Jones,Power Forward,Right,225lb
wardge01,"September 6, 1941",,1.4,35.6,,63.9,169,6.6,3.2,1.7,1,,Boston College,5th overall,1st round,St. Louis Hawks,1963,06-Apr,"Cardinal Hayes in Bronx, New York",Gerry Ward,Shooting Guard,Right,195lb
leslitr01,"March 29, 1990","Atlanta, Georgia",0.5,35.7,,44.4,10,14.6,1.4,0.9,0.1,35.7,University of Georgia,47th overall,2nd round,Los Angeles Clippers,2011,06-Apr,"Columbia in Decatur, Georgia",Travis Leslie,Shooting Guard,Right,205lb
bakerro01,"March 30, 1993","Hays, Kansas",1.8,35.8,26.5,70.7,96,7.4,3.1,1.4,0.2,41.7,Wichita State University,,,,,06-Apr,"Scott City in Scott City, Kansas",Ron Baker,Shooting Guard,Right,220lb
brownbo01,"November 12, 1923","Versailles, Ohio",1.4,35.8,,68.9,82,,10.1,,1.7,,Miami University,,,,,06-Apr,,Bob Brown,Forward,Right,205lb
pollaji01,"July 9, 1922","Oakland, California",3.2,36,,75,438,15.5,13.2,7.8,34.9,,Stanford University,and St. Louis Bombers,1947 BAA Draf,Chicago Stags,1947,06-Apr,"Oakland Technical in Oakland, California",Jim Pollard,Small Forward,Right,185lb
rogesal01,"October 25, 1930",,2.1,36,,71.4,84,9.6,7.5,2.8,0.7,,Long Island University,,,,,06-Apr,,Al Roges,Shooting Guard and Small Forward,Right,195lb
turneja01,"June 29, 1930","Bedford, Indiana",1.2,36,,78.9,65,10.5,4.3,2.4,0.6,,Western Kentucky University,8th overall,1st round,New York Knicks,1954,06-Apr,,Jack Turner,Small Forward,Right,170lb
robinol01,"March 13, 1960","Birmingham, Alabama",0.6,36.1,9.1,66.7,35,14.1,2.9,0.5,0.1,36.6,University of Alabama at Birmingham,24th overall,2nd round,San Antonio Spurs,1982,06-Apr,"Woodlawn in Birmingham, Alabama",Oliver Robinson,Shooting Guard,Right,180lb
paytome01,"July 16, 1926","Martinsville, Indiana",1.1,36.3,,74.6,111,14.3,5.4,3.6,2.5,,Tulane University,18th overall,2nd round,Philadelphia Warriors,1951,06-Apr,,Mel Payton,Small Forward,Right,185lb
fulleto01,"September 4, 1958","Detroit, Michigan",1.9,36.4,0,75,15,6.9,4,2.8,-0.1,36.4,Pepperdine University,93rd overall,5th round,Detroit Pistons,1980,06-Apr,"Saint Martin de Porres in Detroit, Michigan",Tony Fuller,Shooting Guard,Right,180lb
battsll01,"May 9, 1951","Chicago, Illinois",1.8,36.6,28.6,61.7,58,11.3,10.3,3.4,-0.5,39.7,University of Cincinnati,60th overall,4th round,Kansas City-Omaha Kings,1974,06-Apr,"Thornton Township in Harvey, Illinois",Lloyd Batts,Shooting Guard,Right,185lb
blackna01,"February 15, 1965","Philadelphia, Pennsylvania",1.8,36.6,18.2,83.3,10,6.1,3.7,0.6,-0.1,39,Temple University,27th overall,2nd round,San Antonio Spurs,1987,06-Apr,"South Philadelphia in Philadelphia, Pennsylvania",Nate Blackwell,Point Guard,Left,170lb
dickehe01,"November 27, 1951","Berkley, West Virginia",0.8,36.6,,62.5,23,6,2,0.2,-0.2,,University of Charleston,,,,,06-Apr,,Henry Dickerson,Shooting Guard and Point Guard,Right,190lb
fontale01,"November 1, 1948",,0.6,36.6,,75.7,35,12.1,3.8,0.4,-0.3,,University of Maryland Eastern Shore,70th overall,5th round,San Francisco Warriors,1970,06-Apr,,Levi Fontaine,Shooting Guard,Right,190lb
jonesdo02,"October 15, 1988","Lake Wales, Florida",1.8,36.6,9.5,72.9,80,11.9,3.1,1.4,0.3,37,University of South Florida,25th overall,1st round,Memphis Grizzlies,2010,06-Apr,"Lake Wales in Lake Wales, Florida",Dominique Jones,Point Guard and Shooting Guard,Right,215lb
madkige01,"April 18, 1969","Merced, California",1.4,36.6,37.5,76.2,48,8.7,1.7,0.5,0.3,45.1,"University of California, Los Angeles",,,,,06-Apr,"Merced in Merced, California",Gerald Madkins,Shooting Guard,Right,200lb
whitehu01,"January 26, 1940",,0.9,36.6,18,70.6,120,8.5,4.8,2.2,-0.8,37.3,Villanova University,14th overall,2nd round,San Francisco Warriors,1962,06-Apr,,Hubie White,Shooting Guard,Right,205lb
barnhle01,"May 11, 1924","Indianapolis, Indiana",3.2,36.8,,66.5,344,11.4,9.4,5.4,14.2,,University of Notre Dame,1949 BAA Draft,2nd roun,Indianapolis Olympians,,06-Apr,"Cathedral in Indianapolis, Indiana",Leo Barnhorst,Small Forward,Right,190lb
ferraal01,"July 6, 1933","New York, New York",2.5,36.8,,76,371,9.4,6.8,2.2,8.9,,Michigan State University,15th overall,3rd round,St. Louis Hawks,1955,06-Apr,"Brooklyn Technical in Brooklyn, New York",Al Ferrari,Small Forward and Shooting Guard,Right,190lb
kinchch01,"May 22, 1958","Perth Amboy, New Jersey",1.1,36.9,,77.8,41,7,2.9,0.8,-0.5,36.9,University of North Carolina at Charlotte,22nd overall,1st round,Cleveland Cavaliers,1980,06-Apr,"Perth Amboy in Perth Amboy, New Jersey",Chad Kinch,Shooting Guard,Right,190lb
owensan01,"October 31, 1980","Indianapolis, Indiana",1,37,37.5,71.2,54,8.3,3.6,1.3,0.2,42.8,"Indiana University, University of Houston",,,,,06-Apr,"Perry Meridian in Indianapolis, Indiana",Andre Owens,Point Guard,Right,200lb
phillge01,"October 25, 1948","Livingston, Texas",0.5,37,35,78.6,31,10.1,2.5,0.7,0,41.4,Southern Methodist University,119th overall,7th round,Milwaukee Bucks,1971,06-Apr,"Jones in Houston, Texas",Gene Phillips,Shooting Guard,Right,175lb
brownge02,"July 28, 1975","Los Angeles, California",0.9,37.1,30,78.6,33,7.3,2.4,0.7,-0.3,38.8,Pepperdine University,,,,,06-Apr,"Carl Hayden in Phoenix, Arizona",Gerald Brown,Shooting Guard,Right,210lb
harriju01,"October 2, 1980","Wagram, North Carolina",3.1,37.1,27.4,68.9,140,7.1,5.2,2.7,-0.9,38.4,Wingate University,,,,,06-Apr,"Scotland County in Wagram, North Carolina",Junior Harrington,Shooting Guard and Point Guard,Right,180lb
hillga01,"October 7, 1941",,1.4,37.1,,63.7,79,7.4,4.7,1.6,0.4,,Oklahoma City University,11th overall,2nd round,San Francisco Warriors,1963,06-Apr,,Gary Hill,Shooting Guard,Right,185lb
warrewi01,"October 22, 1989","Dallas, Texas",1.4,37.1,33.3,75,19,10.8,1.9,0.6,0.2,44.3,University of Oklahoma,54th overall,2nd round,Los Angeles Clippers,2010,06-Apr,"North Crowley in Fort Worth, Texas",Willie Warren,Point Guard,Right,203lb
breweja01,"November 19, 1980","East Point, Georgia",1,37.2,25,39.3,54,7,1.6,0.9,0,41.5,Auburn University,41st overall,2nd round,Indiana Pacers,2001,06-Apr,"Newport School in Silver Spring, Maryland",Jamison Brewer,Shooting Guard and Point Guard,Right,184lb
dialde01,"December 20, 1975","Detroit, Michigan",0.8,37.2,19,67.2,82,12.2,3.1,1.6,0.6,38.6,Eastern Michigan University,52nd overall,2nd round,San Antonio Spurs,1998,06-Apr,"Cass Technical in Detroit, Michigan",Derrick Dial,Shooting Guard,Right,184lb
